raining	5.92000	2.16500
writings	6.12000	1.69640
yellow	5.80000	1.45690
four	5.20000	0.96890
woods	6.16000	1.33030
friend's	7.36000	1.63830
preface	5.50000	1.34390
marching	5.68000	1.36190
otro	4.81000	0.89100
increase	6.56000	1.10950
eligible	6.66000	1.27150
snowing	6.12000	2.16310
otra	5.00000	0.83300
igual	4.88000	1.12980
lord	6.34000	1.82510
sinking	3.48000	1.75030
callin	5.12000	1.33280
muthafuckin	3.00000	2.30940
oceans	7.16000	1.62080
dell	5.98000	1.40680
gimmie	4.80000	1.58090
foul	2.94000	1.33110
fur	5.34000	1.73330
bringing	6.04000	1.14210
prize	7.62000	1.21030
wooden	5.04000	1.33620
wednesday	5.38000	1.33840
oooo	5.66000	2.00620
haben	4.86000	1.37040
shouting	3.42000	1.60470
succession	6.20000	1.29360
straight	6.06000	1.05770
charter	5.44000	0.92930
tired	3.34000	1.11780
miller	5.36000	1.02540
roslyn	5.26000	0.96490
bacon	5.96000	2.06980
pulse	5.94000	1.33110
budget	5.08000	1.78250
tires	5.20000	1.37020
elegant	6.96000	1.92680
second	5.38000	1.19330
1-bath	5.12000	1.42340
sailed	6.53000	1.52890
errors	2.86000	0.96910
forgetting	3.82000	1.40970
thunder	5.06000	2.29830
cooking	7.08000	1.29110
contributed	6.04000	1.21150
fingers	5.58000	1.14450
increasing	6.40000	1.29360
admiral	5.89000	1.40240
specialist	6.08000	1.53650
hero	7.80000	1.39970
reporter	5.16000	1.34560
herb	6.49000	1.70930
suga	5.16000	1.64580
here	5.48000	1.09250
atoms	5.50000	1.21640
reported	5.12000	1.25580
china	5.40000	1.70230
kurupt	4.06000	1.53080
kids	7.38000	1.60220
elaborate	5.47000	1.65960
climbed	6.36000	1.39620
reports	5.00000	1.51190
controversy	3.68000	1.74310
electricity	6.10000	1.61940
i'd	5.44000	0.81220
military	4.78000	1.75300
i'm	5.74000	1.57540
diplomat	5.28000	1.48520
criticism	3.10000	1.14730
golden	7.30000	1.34390
divide	4.29000	1.45770
classification	5.18000	1.25670
explained	5.98000	1.31690
replace	5.04000	1.17730
brought	5.90000	1.32860
c-after	5.12000	0.87220
stern	4.24000	1.36370
txt	5.24000	1.28670
unit	5.50000	0.97420
opponents	3.48000	1.09250
cheating	2.26000	1.19200
dna	5.40000	1.35530
spoke	5.80000	0.90350
dnt	4.20000	1.34010
symphony	6.58000	1.75070
music	8.02000	1.11560
therefore	5.08000	1.25910
unfortunately	2.76000	1.57220
strike	3.96000	1.35470
until	4.94000	0.71170
females	6.60000	1.69030
holy	6.64000	1.78150
relax	7.70000	1.07380
successful	8.16000	1.07590
brings	5.80000	1.10660
feared	3.14000	1.92570
yahoo	6.14000	1.73800
hurt	2.18000	1.36560
glass	5.76000	1.22160
midst	5.61000	1.38170
hold	5.70000	1.21640
circumstances	4.86000	1.10680
listenin	5.42000	1.53980
locked	3.70000	1.26570
pursue	5.68000	1.47690
blade	4.56000	1.61830
locker	5.16000	0.95530
temperatures	5.71000	1.51380
sweeter	7.22000	1.11190
concepts	6.02000	1.28560
revenues	6.38000	1.49680
example	5.58000	1.07080
wana	5.02000	1.47760
vor	4.86000	1.06920
household	5.86000	1.65380
artillery	3.88000	1.53610
organized	6.62000	1.24360
currency	6.66000	1.52010
want	5.70000	1.34390
absolute	5.40000	1.61620
provincial	5.08000	1.36680
cielo	5.39000	1.52500
yuh	4.90000	1.34390
complaining	2.82000	1.13730
hoo	5.00000	1.30930
travel	7.18000	1.42410
feature	5.98000	1.16920
machine	5.38000	1.25990
how	4.68000	1.01900
hot	5.02000	1.92180
hou	5.10000	1.43210
voz	5.04000	1.35200
hop	5.60000	1.61620
significance	6.08000	1.27210
yum	7.10000	1.48800
disgrace	2.72000	1.41480
hoy	5.04000	1.00930
gaming	6.42000	1.87450
regional	5.34000	0.82340
beauty	7.76000	1.61070
aiyyo	4.89000	1.31510
shores	6.40000	1.61620
modest	5.90000	1.41780
destined	5.96000	1.45630
nonprofit	5.28000	1.93820
types	5.32000	0.74070
sentir	5.00000	1.21220
effective	6.76000	1.28670
wins	7.44000	1.26430
headquarters	5.40000	1.01020
discontinued	3.38000	1.45530
wink	6.44000	1.14570
18th	5.22000	1.31380
ho	4.34000	1.93370
keeps	5.88000	1.31920
democratic	6.32000	1.65910
wing	5.98000	1.15160
wind	5.80000	1.60360
wine	6.42000	2.11980
senators	4.54000	1.72860
feedback	5.88000	0.96130
dreamed	6.87000	1.39220
